surah_id,surah_name,ayah_number,new_similarity,old_similarity,sim_diff,new_start,new_end,old_start,old_end,in_both,text
1,الفاتحة,1,1.0,1.0,0.0,5.62,9.57,5.72,9.74,True,بِسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ
1,الفاتحة,2,0.976,0.976,0.0,10.51,14.72,10.28,14.9,True,ٱلۡحَمۡدُ لِلَّهِ رَبِّ ٱلۡعَٰلَمِينَ
1,الفاتحة,3,1.0,1.0,0.0,15.45,18.53,15.19,18.77,True,ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ
1,الفاتحة,4,0.963,0.963,0.0,19.21,22.54,18.98,22.76,True,مَٰلِكِ يَوۡمِ ٱلدِّينِ
1,الفاتحة,5,1.0,1.0,0.0,23.27,28.19,23.02,28.43,True,إِيَّاكَ نَعۡبُدُ وَإِيَّاكَ نَسۡتَعِينُ
1,الفاتحة,6,0.976,0.976,0.0,29.0,33.07,28.74,33.28,True,ٱهۡدِنَا ٱلصِّرَٰطَ ٱلۡمُسۡتَقِيمَ
1,الفاتحة,7,0.99,0.99,0.0,33.98,46.44,33.82,46.37,True,صِرَٰطَ ٱلَّذِينَ أَنۡعَمۡتَ عَلَيۡهِمۡ غَيۡرِ ٱلۡمَغۡضُوبِ عَلَيۡهِمۡ وَلَا ٱلضَّآلِّينَ
2,البقرة,1,1.0,1.0,0.0,10.08,16.77,9.78,17.07,True,الٓمٓ
2,البقرة,2,0.985,0.985,0.0,17.52,23.27,17.22,23.57,True,ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ
2,البقرة,3,0.972,0.972,0.0,24.01,34.02,23.71,34.32,True,ٱلَّذِينَ يُؤۡمِنُونَ بِٱلۡغَيۡبِ وَيُقِيمُونَ ٱلصَّلَوٰةَ وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ
2,البقرة,4,1.0,1.0,0.0,35.01,48.33,34.71,48.629999999999995,True,وَٱلَّذِينَ يُؤۡمِنُونَ بِمَآ أُنزِلَ إِلَيۡكَ وَمَآ أُنزِلَ مِن قَبۡلِكَ وَبِٱلۡأٓخِرَةِ هُمۡ يُو
2,البقرة,5,1.0,1.0,0.0,49.44,58.95,49.14,59.25,True,أُوْلَٰٓئِكَ عَلَىٰ هُدٗى مِّن رَّبِّهِمۡۖ وَأُوْلَٰٓئِكَ هُمُ ٱلۡمُفۡلِحُونَ
2,البقرة,6,0.982,0.982,0.0,59.88,72.11,59.580000000000005,72.41,True,إِنَّ ٱلَّذِينَ كَفَرُواْ سَوَآءٌ عَلَيۡهِمۡ ءَأَنذَرۡتَهُمۡ أَمۡ لَمۡ تُنذِرۡهُمۡ لَا يُؤۡمِنُونَ
2,البقرة,7,0.984,0.942,0.04200000000000004,73.05,86.37,72.75,86.67,True,خَتَمَ ٱللَّهُ عَلَىٰ قُلُوبِهِمۡ وَعَلَىٰ سَمۡعِهِمۡۖ وَعَلَىٰٓ أَبۡصَٰرِهِمۡ غِشَٰوَةٞۖ وَلَهُمۡ ع
2,البقرة,8,0.991,0.991,0.0,87.29,98.7,86.99000000000001,99.0,True,وَمِنَ ٱلنَّاسِ مَن يَقُولُ ءَامَنَّا بِٱللَّهِ وَبِٱلۡيَوۡمِ ٱلۡأٓخِرِ وَمَا هُم بِمُؤۡمِنِينَ
2,البقرة,9,0.983,0.983,0.0,99.58,111.42,99.28,111.72,True,يُخَٰدِعُونَ ٱللَّهَ وَٱلَّذِينَ ءَامَنُواْ وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ وَمَا يَشۡعُرُونَ
2,البقرة,10,1.0,1.0,0.0,112.39,126.19,112.09,126.49,True,فِي قُلُوبِهِم مَّرَضٞ فَزَادَهُمُ ٱللَّهُ مَرَضٗاۖ وَلَهُمۡ عَذَابٌ أَلِيمُۢ بِمَا كَانُواْ يَكۡذِب
2,البقرة,11,1.0,1.0,0.0,126.92,137.44,126.62,137.74,True,وَإِذَا قِيلَ لَهُمۡ لَا تُفۡسِدُواْ فِي ٱلۡأَرۡضِ قَالُوٓاْ إِنَّمَا نَحۡنُ مُصۡلِحُونَ
2,البقرة,12,1.0,1.0,0.0,138.27,146.88,137.97,147.18,True,أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ
2,البقرة,13,0.984,0.941,0.04300000000000004,147.93,172.35,147.63,172.65,True,وَإِذَا قِيلَ لَهُمۡ ءَامِنُواْ كَمَآ ءَامَنَ ٱلنَّاسُ قَالُوٓاْ أَنُؤۡمِنُ كَمَآ ءَامَنَ ٱلسُّفَه
