sura_id,ayah_index,ayah_text,model_text,start_time,end_time,similarity_score,status,notes,overlap_status
100,1,وَٱلۡعَٰدِيَٰتِ ضَبۡحٗا,وَالْعَادِيَاتِ ضَبْحًا,5.79,8.28,0.8461538461538461,Success,Last word matched,No Overlap
100,2,فَٱلۡمُورِيَٰتِ قَدۡحٗا,فَالْمُورِيَاتِ قَدْحًا,9.23,11.7,0.8888888888888888,Success,Last word matched,No Overlap
100,3,فَٱلۡمُغِيرَٰتِ صُبۡحٗا,فَالْمُغِيرَاتِ صُبْحًا,12.66,15.15,0.8888888888888888,Success,Last word matched,No Overlap
100,4,فَأَثَرۡنَ بِهِۦ نَقۡعٗا,فَأَثَرْنَ بِهِ نَقْعًا,16.07,18.53,0.9629629629629629,Success,Last word matched,No Overlap
100,5,فَوَسَطۡنَ بِهِۦ جَمۡعًا,فَوَسَطْنَ بِهِ جَمْعًا,19.65,22.23,0.9629629629629629,Success,Last word matched,No Overlap
100,6,إِنَّ ٱلۡإِنسَٰنَ لِرَبِّهِۦ لَكَنُودٞ,إِنَّ الْإِنْسَانَ لِرَبِّهِ لَكَنُودٌ,23.29,28.7,0.9047619047619048,Success,Last word matched,No Overlap
100,7,وَإِنَّهُۥ عَلَىٰ ذَٰلِكَ لَشَهِيدٞ,وَإِنَّهُ عَلَى ذَلِكَ لَشَهِيدٌ,29.48,34.23,0.972972972972973,Success,Last word matched,No Overlap
100,8,وَإِنَّهُۥ لِحُبِّ ٱلۡخَيۡرِ لَشَدِيدٌ,وَإِنَّهُ لِحُبِّ الْخَيْرِ لَشَدِيدٌ,34.98,40.07,0.926829268292683,Success,Last word matched,No Overlap
100,9,۞ أَفَلَا يَعۡلَمُ إِذَا بُعۡثِرَ مَا فِي ٱلۡقُبُورِ,أَفَلَا يَعْلَمُ إِذَا بُعْثِرَ مَا فِي الْقُبُورِ,41.08,46.57,0.967741935483871,Success,Last word matched,No Overlap
100,10,وَحُصِّلَ مَا فِي ٱلصُّدُورِ,وَحُصِّلَ مَا فِي الصُّدُورِ,47.14,50.82,0.9411764705882353,Success,Last word matched,No Overlap
100,11,إِنَّ رَبَّهُم بِهِمۡ يَوۡمَئِذٖ لَّخَبِيرُۢ,إِنَّ رَبَّهُمْ بِهِمْ يَوْمَئِذٍ لَخَبِيرٌ,51.54,58.06,1.0,Success,Last word matched,No Overlap
