sura_id,ayah_index,ayah_text,model_text,start_time,end_time,similarity_score,status,notes,overlap_status
96,1,ٱقۡرَأۡ بِٱسۡمِ رَبِّكَ ٱلَّذِي خَلَقَ,اقْرَأْ بِاسْمِ رَبِّكَ الَّذِي خَلَقَ,6.05,9.5,0.8636363636363636,Success,Last word matched,No Overlap
96,2,خَلَقَ ٱلۡإِنسَٰنَ مِنۡ عَلَقٍ,خَلَقَ الْإِنْسَانَ مِنْ عَلَقٍ,10.49,13.61,0.9142857142857143,Success,Last word matched,No Overlap
96,3,ٱقۡرَأۡ وَرَبُّكَ ٱلۡأَكۡرَمُ,اقْرَأْ وَرَبُّكَ الْأَكْرَمُ,14.63,17.21,0.875,Success,Last word matched,No Overlap
96,4,ٱلَّذِي عَلَّمَ بِٱلۡقَلَمِ,الَّذِي عَلَّمَ بِالْقَلَمِ,18.22,20.77,0.8666666666666667,Success,Last word matched,No Overlap
96,5,عَلَّمَ ٱلۡإِنسَٰنَ مَا لَمۡ يَعۡلَمۡ,عَلَّمَ الْإِنْسَانَ مَا لَمْ يَعْلَمْ,21.84,25.85,0.9302325581395349,Success,Last word matched,No Overlap
96,6,كـَلَّآ إِنَّ ٱلۡإِنسَٰنَ لَيَطۡغَىٰٓ,كَلَّا إِنَّ الْإِنْسَانَ لَيَطْغَى,27.11,32.84,0.9,Success,Last word matched,No Overlap
96,7,أَن رَّءَاهُ ٱسۡتَغۡنَىٰٓ,أَنْ رَآهُ اسْتَغْنَى,33.77,35.91,0.8888888888888888,Success,Last word matched,No Overlap
96,8,إِنَّ إِلَىٰ رَبِّكَ ٱلرُّجۡعَىٰٓ,إِنَّ إِلَى رَبِّكَ الرُّجْعَى,36.84,40.14,0.9411764705882353,Success,Last word matched,No Overlap
96,9,أَرَءَيۡتَ ٱلَّذِي يَنۡهَىٰ,أَرَأَيْتَ الَّذِي يَنْهَى,41.33,43.93,0.8666666666666667,Success,Last word matched,No Overlap
96,10,عَبۡدًا إِذَا صَلَّىٰٓ,عَبْدًا إِذَا صَلَّى,44.67,47.09,1.0,Success,Last word matched,No Overlap
96,11,أَرَءَيۡتَ إِن كَانَ عَلَى ٱلۡهُدَىٰٓ,أَرَأَيْتَ إِنْ كَانَ عَلَى الْهُدَى,48.11,51.78,0.9090909090909091,Success,Last word matched,No Overlap
96,12,أَوۡ أَمَرَ بِٱلتَّقۡوَىٰٓ,أَوْ أَمَرَ بِالتَّقْوَى,52.65,54.79,0.9285714285714286,Success,Last word matched,No Overlap
96,13,أَرَءَيۡتَ إِن كَذَّبَ وَتَوَلَّىٰٓ,أَرَأَيْتَ إِنْ كَذَّبَ وَتَوَلَّى,55.93,59.94,0.9444444444444444,Success,Last word matched,No Overlap
96,14,أَلَمۡ يَعۡلَم بِأَنَّ ٱللَّهَ يَرَىٰ,أَلَمْ يَعْلَمْ بِأَنَّ اللَّهَ يَرَى,60.9,65.24,0.9523809523809523,Success,Last word matched,No Overlap
96,15,كـَلَّا لَئِن لَّمۡ يَنتَهِ لَنَسۡفَعَۢا بِٱلنَّاصِيَةِ,كَلَّا لَئِنْ لَمْ يَنْتَهِ لَنَسْفَعًا بِالنَّاصِيَةِ,66.16,72.37,0.9523809523809523,Success,Last word matched,No Overlap
96,16,نَاصِيَةٖ كَٰذِبَةٍ خَاطِئَةٖ,نَاصِيَةٍ كَاذِبَةٍ خَاطِئَةٍ,73.38,77.07,0.9696969696969697,Success,Last word matched,No Overlap
96,17,فَلۡيَدۡعُ نَادِيَهُۥ,فَلْيَدْعُ نَادِيَهُ,78.02,79.81,0.9565217391304348,Success,Last word matched,No Overlap
96,18,سَنَدۡعُ ٱلزَّبَانِيَةَ,سَنَدْعُ الزَّبَانِيَةَ,80.67,82.65,0.9230769230769231,Success,Last word matched,No Overlap
96,19,كـَلَّا لَا تُطِعۡهُ وَٱسۡجُدۡۤ وَٱقۡتَرِب۩,كَلَّا لَا تُطِعْهُ وَاسْجُدْ وَاقْتَرِبْ,83.64,87.47,0.8979591836734694,Success,Last word matched,No Overlap
