sura_id,ayah_index,ayah_text,model_text,start_time,end_time,similarity_score,status,notes,overlap_status
82,1,إِذَا ٱلسَّمَآءُ ٱنفَطَرَتۡ,إِذَا السَّمَاءُ انْفَطَرَتْ,5.74,9.73,0.8823529411764706,Success,Last word matched,No Overlap
82,2,وَإِذَا ٱلۡكَوَاكِبُ ٱنتَثَرَتۡ,وَإِذَا الْكَوَاكِبُ انْتَثَرَتْ,10.8,14.33,0.8947368421052632,Success,Last word matched,No Overlap
82,3,وَإِذَا ٱلۡبِحَارُ فُجِّرَتۡ,وَإِذَا الْبِحَارُ فُجِّرَتْ,15.27,17.7,0.9375,Success,Last word matched,No Overlap
82,4,وَإِذَا ٱلۡقُبُورُ بُعۡثِرَتۡ,وَإِذَا الْقُبُورُ بُعْثِرَتْ,18.74,21.23,0.9411764705882353,Success,Last word matched,No Overlap
82,5,عَلِمَتۡ نَفۡسٞ مَّا قَدَّمَتۡ وَأَخَّرَتۡ,عَلِمَتْ نَفْسٌ مَا قَدَّمَتْ وَأَخَّرَ,22.12,26.7,0.9767441860465116,Success,Last word matched,No Overlap
82,6,يَٰٓأَيُّهَا ٱلۡإِنسَٰنُ مَا غَرَّكَ بِرَبِّكَ ٱلۡكَرِيمِ,يَا أَيُّهَا الْإِنْسَانُ مَا غَرَّكَ بِرَبِّكَ الْكَرِيمِ,27.86,35.85,0.8923076923076924,Success,Last word matched,No Overlap
82,7,ٱلَّذِي خَلَقَكَ فَسَوَّىٰكَ فَعَدَلَكَ,الَّذِي خَلَقَكَ فَسَوَّاكَ فَعَدَلَ,36.91,40.79,0.8780487804878049,Success,Last word matched,No Overlap
82,8,فِيٓ أَيِّ صُورَةٖ مَّا شَآءَ رَكَّبَكَ,فِي أَيِّ صُورَةٍ مَا شَاءَ رَكَّبَةٍ,41.76,47.58,0.9545454545454546,Success,Last word matched,No Overlap
82,9,كـَلَّا بَلۡ تُكَذِّبُونَ بِٱلدِّينِ,كَلَّا بَلْ تُكَذِّبُونَ بِالدِّينِ,48.62,52.79,0.926829268292683,Success,Last word matched,No Overlap
82,10,وَإِنَّ عَلَيۡكُمۡ لَحَٰفِظِينَ,وَإِنَّ عَلَيْكُمْ لَحَافِظِينَ,53.59,57.76,0.9696969696969697,Success,Last word matched,No Overlap
82,11,كِرَامٗا كَٰتِبِينَ,كِرَامًا كَاتِبِينَ,58.55,61.72,0.9565217391304348,Success,Last word matched,No Overlap
82,12,يَعۡلَمُونَ مَا تَفۡعَلُونَ,يَعْلَمُونَ مَا تَفْعَلُونَ,62.56,66.05,1.0,Success,Last word matched,No Overlap
82,13,إِنَّ ٱلۡأَبۡرَارَ لَفِي نَعِيمٖ,إِنَّ الْأَبْرَارَ لَفِي نَعِيمٍ,67.11,71.24,0.9473684210526315,Success,Last word matched,No Overlap
82,14,وَإِنَّ ٱلۡفُجَّارَ لَفِي جَحِيمٖ,وَإِنَّ الْفُجَّارَ لَفِي جَحِيمٍ,72.26,76.67,0.9473684210526315,Success,Last word matched,No Overlap
82,15,يَصۡلَوۡنَهَا يَوۡمَ ٱلدِّينِ,يَصْلَوْنَهَا يَوْمَ الدِّينِ,77.44,80.78,0.9411764705882353,Success,Last word matched,No Overlap
82,16,وَمَا هُمۡ عَنۡهَا بِغَآئِبِينَ,وَمَا هُمْ عَنْهَا بِغَائِبِينَ,81.63,86.65,1.0,Success,Last word matched,No Overlap
82,17,وَمَآ أَدۡرَىٰكَ مَا يَوۡمُ ٱلدِّينِ,وَمَا أَدْرَاكَ مَا يَوْمُ الدِّينِ,87.5,91.98,0.9090909090909091,Success,Last word matched,No Overlap
82,18,ثُمَّ مَآ أَدۡرَىٰكَ مَا يَوۡمُ ٱلدِّينِ,ثُمَّ مَا أَدْرَاكَ مَا يَوْمُ الدِّينِ,92.91,98.32,0.9166666666666666,Success,Last word matched,No Overlap
82,19,يَوۡمَ لَا تَمۡلِكُ نَفۡسٞ لِّنَفۡسٖ شَيۡـٔٗاۖ وَٱلۡأَمۡرُ يَوۡمَئِذٖ لِّلَّهِ,يَوْمَ لَا تَمْلِكُ نَفْسٌ لِنَفْسٍ شَيْئًا وَالْأَمْرُ يَوْمَئِذٍ لِلَّهِ,99.12,108.92,0.9523809523809523,Success,Last word matched,Overlap Removed
