sura_id,ayah_index,ayah_text,model_text,start_time,end_time,similarity_score,status,notes,overlap_status
79,1,وَٱلنَّٰزِعَٰتِ غَرۡقٗا,وَالنَّازِعَاتِ غَرْقًا,5.47,8.25,0.8461538461538461,Success,Last word matched,No Overlap
79,2,وَٱلنَّٰشِطَٰتِ نَشۡطٗا,وَالنَّاشِطَاتِ نَشْطًا,9.13,11.87,0.8461538461538461,Success,Last word matched,No Overlap
79,3,وَٱلسَّٰبِحَٰتِ سَبۡحٗا,وَالسَّابِحَاتِ سَبْحًا,12.88,15.38,0.8461538461538461,Success,Last word matched,No Overlap
79,4,فَٱلسَّٰبِقَٰتِ سَبۡقٗا,فَالسَّابِقَاتِ سَبْقًا,16.37,18.92,0.8461538461538461,Success,Last word matched,No Overlap
79,5,فَٱلۡمُدَبِّرَٰتِ أَمۡرٗا,فَالْمُدَبِّرَاتِ أَمْرًا,19.78,22.34,0.8888888888888888,Success,Last word matched,No Overlap
79,6,يَوۡمَ تَرۡجُفُ ٱلرَّاجِفَةُ,يَوْمَ تَرْجُفُ الرَّاجِفَةُ,23.44,25.97,0.9375,Success,Last word matched,No Overlap
79,7,تَتۡبَعُهَا ٱلرَّادِفَةُ,تَتْبَعُهَا الرَّادِفَةُ,26.98,29.06,0.9285714285714286,Success,Last word matched,No Overlap
79,8,قُلُوبٞ يَوۡمَئِذٖ وَاجِفَةٌ,قُلُوبٌ يَوْمَئِذٍ وَاجِفَةٌ,29.96,34.02,1.0,Success,Last word matched,No Overlap
79,9,أَبۡصَٰرُهَا خَٰشِعَةٞ,أَبْصَارُهَا خَاشِعَةٌ,34.89,37.23,0.9166666666666666,Success,Last word matched,No Overlap
79,10,يَقُولُونَ أَءِنَّا لَمَرۡدُودُونَ فِي ٱلۡحَافِرَةِ,يَقُولُونَ أَإِنَّا لَمَرْدُودُونَ فِي الْحَافِرَةِ,38.31,43.59,0.9354838709677419,Success,Last word matched,No Overlap
79,11,أَءِذَا كُنَّا عِظَٰمٗا نَّخِرَةٗ,أَإِذَا كُنَّا عِظَامًا نَخِرَةً,44.66,48.59,0.918918918918919,Success,Last word matched,No Overlap
79,12,قَالُواْ تِلۡكَ إِذٗا كَرَّةٌ خَاسِرَةٞ,قَالُوا تِلْكَ إِذًا كَرَّةٌ خَاسِرَةٌ,49.48,53.77,1.0,Success,Last word matched,No Overlap
79,13,فَإِنَّمَا هِيَ زَجۡرَةٞ وَٰحِدَةٞ,فَإِنَّمَا هِيَ زَجْرَةٌ وَاحِدَةٌ,54.91,58.95,0.972972972972973,Success,Last word matched,No Overlap
79,14,فَإِذَا هُم بِٱلسَّاهِرَةِ,فَإِذَا هُمْ بِالسَّاهِرَةِ,59.78,62.52,0.9375,Success,Last word matched,No Overlap
79,15,هَلۡ أَتَىٰكَ حَدِيثُ مُوسَىٰٓ,هَلْ أَتَاكَ حَدِيثُ مُوسَى,63.77,66.65,0.9411764705882353,Success,Last word matched,No Overlap
79,16,إِذۡ نَادَىٰهُ رَبُّهُۥ بِٱلۡوَادِ ٱلۡمُقَدَّسِ طُوًى,إِذْ نَادَاهُ رَبُّهُ بِالْوَادِ الْمُقَدَّسِ طُوًى,67.69,72.81,0.8852459016393442,Success,Last word matched,No Overlap
79,17,ٱذۡهَبۡ إِلَىٰ فِرۡعَوۡنَ إِنَّهُۥ طَغَىٰ,اذْهَبْ إِلَى فِرْعَوْنَ إِنَّهُ طَغَى,73.78,77.97,0.9333333333333333,Success,Last word matched,No Overlap
79,18,فَقُلۡ هَل لَّكَ إِلَىٰٓ أَن تَزَكَّىٰ,فَقُلْ هَلْ لَكَ إِلَى أَنْ تَزَكَّى,78.96,83.77,1.0,Success,Last word matched,No Overlap
79,19,وَأَهۡدِيَكَ إِلَىٰ رَبِّكَ فَتَخۡشَىٰ,وَأَهْدِيَكَ إِلَى رَبِّكَ فَتَخْشَى,84.61,88.31,1.0,Success,Last word matched,No Overlap
79,20,فَأَرَىٰهُ ٱلۡأٓيَةَ ٱلۡكُبۡرَىٰ,فَأَرَاهُ الْآيَةَ الْكُبْرَى,89.27,92.25,0.8333333333333334,Success,Last word matched,No Overlap
79,21,فَكَذَّبَ وَعَصَىٰ,فَكَذَّبَ وَعَصَى,93.21,95.1,1.0,Success,Last word matched,No Overlap
79,22,ثُمَّ أَدۡبَرَ يَسۡعَىٰ,ثُمَّ أَدْبَرَ يَسْعَى,95.94,98.58,1.0,Success,Last word matched,No Overlap
79,23,فَحَشَرَ فَنَادَىٰ,فَحَشَرَ فَنَادَى,99.51,101.42,1.0,Success,Last word matched,No Overlap
79,24,فَقَالَ أَنَا۠ رَبُّكُمُ ٱلۡأَعۡلَىٰ,فَقَالَ أَنَا رَبُّكُمُ الْأَعْلَى,102.18,105.48,0.95,Success,Last word matched,No Overlap
79,25,فَأَخَذَهُ ٱللَّهُ نَكَالَ ٱلۡأٓخِرَةِ وَٱلۡأُولَىٰٓ,فَأَخَذَهُ اللَّهُ نَكَالَ الْآخِرَةِ وَالْأُولَى,106.43,111.7,0.9,Success,Last word matched,No Overlap
79,27,ءَأَنتُمۡ أَشَدُّ خَلۡقًا أَمِ ٱلسَّمَآءُۚ بَنَىٰهَا,أَأَنْتُمْ أَشَدُّ خَلْقًا أَمِ السَّمَاءُ جَنَاهَا,119.02,125.94,0.8666666666666667,Success,Last word matched,Overlap Removed
79,28,رَفَعَ سَمۡكَهَا فَسَوَّىٰهَا,رَفَعَ سَمْكَهَا فَسَوَّاهَا,126.89,130.18,0.9375,Success,Last word matched,No Overlap
79,29,وَأَغۡطَشَ لَيۡلَهَا وَأَخۡرَجَ ضُحَىٰهَا,وَأَغْطَشَ لَيْلَهَا وَأَخْرَجَ ضُحَاهَا,131.02,135.14,0.9565217391304348,Success,Last word matched,No Overlap
79,30,وَٱلۡأَرۡضَ بَعۡدَ ذَٰلِكَ دَحَىٰهَآ,وَالْأَرْضَ بَعْدَ ذَلِكَ دَحَاهَا,136.24,139.74,0.9,Success,Last word matched,No Overlap
79,31,أَخۡرَجَ مِنۡهَا مَآءَهَا وَمَرۡعَىٰهَا,أَخْرَجَ مِنْهَا مَاءَهَا وَمَرْعَاهَا,140.59,145.71,0.9565217391304348,Success,Last word matched,No Overlap
79,32,وَٱلۡجِبَالَ أَرۡسَىٰهَا,وَالْجِبَالَ أَرْسَاهَا,146.58,149.13,0.8571428571428571,Success,Last word matched,No Overlap
79,33,مَتَٰعٗا لَّكُمۡ وَلِأَنۡعَٰمِكُمۡ,مَتَاعًا لَكُمْ وَلِأَنْعَامِكُمْ,150.02,153.61,0.9444444444444444,Success,Last word matched,No Overlap
