sura_id,ayah_index,ayah_text,model_text,start_time,end_time,similarity_score,status,notes,overlap_status
101,1,ٱلۡقَارِعَةُ,مَا الْقَارِعَةُ,5.63,6.97,0.7058823529411765,Success,Last word matched,No Overlap
101,2,مَا ٱلۡقَارِعَةُ,مَا الْقَارِعَةُ,7.79,9.24,0.9,Success,Last word matched,No Overlap
101,3,وَمَآ أَدۡرَىٰكَ مَا ٱلۡقَارِعَةُ,وَمَا أَدْرَاكَ مَا الْقَارِعَةُ,9.98,13.69,0.9,Success,Last word matched,No Overlap
101,4,يَوۡمَ يَكُونُ ٱلنَّاسُ كَٱلۡفَرَاشِ ٱلۡمَبۡثُوثِ,يَوْمَ يَكُونُ النَّاسُ كَالْفَرَاشِ الْمَبْثُوثِ,14.78,20.18,0.9,Success,Last word matched,No Overlap
101,5,وَتَكُونُ ٱلۡجِبَالُ كَٱلۡعِهۡنِ ٱلۡمَنفُوشِ,وَتَكُونُ الْجِبَالُ كَالْعِهْنِ الْمَنْفُوشِ,21.16,26.87,0.8888888888888888,Success,Last word matched,No Overlap
101,6,فَأَمَّا مَن ثَقُلَتۡ مَوَٰزِينُهُۥ,فَأَمَّا مَنْ ثَقُلَتْ مَوَازِينُهُ,27.8,31.81,0.95,Success,Last word matched,No Overlap
101,7,فَهُوَ فِي عِيشَةٖ رَّاضِيَةٖ,فَهُوَ فِي عِيشَةٍ رَاضِيَةٍ,32.51,35.34,1.0,Success,Last word matched,No Overlap
101,8,وَأَمَّا مَنۡ خَفَّتۡ مَوَٰزِينُهُۥ,وَأَمَّا مَنْ خَفَّتْ مَوَازِينُهُ,36.26,40.11,0.9473684210526315,Success,Last word matched,No Overlap
101,9,فَأُمُّهُۥ هَاوِيَةٞ,فَأُمُّهُ هَاوِيَةٌ,40.8,43.36,0.9523809523809523,Success,Last word matched,No Overlap
101,10,وَمَآ أَدۡرَىٰكَ مَا هِيَهۡ,وَمَا أَدْرَاكَ مَا هِيَهْ,44.23,47.7,0.9375,Success,Last word matched,No Overlap
101,11,نَارٌ حَامِيَةُۢ,نَارٌ حَامِيَةٌ,48.54,50.49,1.0,Success,Last word matched,No Overlap
