sura_id,ayah_index,ayah_text,model_text,start_time,end_time,similarity_score,status,notes,overlap_status
78,1,عَمَّ يَتَسَآءَلُونَ,عَمَّ يَتَسَاءَلُونَ,5.73,10.1,1.0,Success,Last word matched,No Overlap
78,2,عَنِ ٱلنَّبَإِ ٱلۡعَظِيمِ,عَنِ النَّبَإِ الْعَظِيمِ,11.17,14.34,0.8666666666666667,Success,Last word matched,No Overlap
78,3,ٱلَّذِي هُمۡ فِيهِ مُخۡتَلِفُونَ,الَّذِي هُمْ فِيهِ مُخْتَلِفُونَ,15.26,19.25,0.9473684210526315,Success,Last word matched,No Overlap
78,4,كـَلَّا سَيَعۡلَمُونَ,كَلَّا سَيَعْلَمُونَ,20.16,23.02,0.9565217391304348,Success,Last word matched,No Overlap
78,5,ثُمَّ كـَلَّا سَيَعۡلَمُونَ,ثُمَّ كَلَّا سَيَعْلَمُونَ,23.89,27.73,0.9655172413793104,Success,Last word matched,No Overlap
78,6,أَلَمۡ نَجۡعَلِ ٱلۡأَرۡضَ مِهَٰدٗا,أَلَمْ نَجْعَلِ الْأَرْضَ مِهَادًا,28.86,31.96,0.9230769230769231,Success,Last word matched,No Overlap
78,7,وَٱلۡجِبَالَ أَوۡتَادٗا,وَالْجِبَالَ أَوْتَادًا,32.86,35.41,0.9285714285714286,Success,Last word matched,No Overlap
78,8,وَخَلَقۡنَٰكُمۡ أَزۡوَٰجٗا,وَخَلَقْنَاكُمْ أَزْوَاجًا,36.34,39.28,0.9285714285714286,Success,Last word matched,No Overlap
78,9,وَجَعَلۡنَا نَوۡمَكُمۡ سُبَاتٗا,وَجَعَلْنَا نَوْمَكُمْ سُبَاتًا,40.25,43.53,1.0,Success,Last word matched,No Overlap
78,10,وَجَعَلۡنَا ٱلَّيۡلَ لِبَاسٗا,وَجَعَلْنَا اللَّيْلَ لِبَاسًا,44.66,47.6,0.9142857142857143,Success,Last word matched,No Overlap
78,11,وَجَعَلۡنَا ٱلنَّهَارَ مَعَاشٗا,وَجَعَلْنَا النَّهَارَ مَعَاشًا,48.4,51.77,0.9473684210526315,Success,Last word matched,No Overlap
